leave_id,employee_id,department_id,manager_id,leave_type,from_date,to_date,total_days,reason,leave_status,applied_at,approved_rejected_at,approved_by,remarks,created_at,updated_at
LVE000001,EMP00001,DEPT001,EMP00002,Annual Leave,2025-12-25,2026-01-01,8,Medical emergency,Cancelled,2025-11-22 12:45:53,,,Leave cancelled for 8 days,2025-12-30 12:45:53,2026-02-14 12:45:53
LVE000002,EMP00002,DEPT002,EMP00003,Sick Leave,2025-12-28,2026-01-01,5,Family function,Withdrawn,2025-11-20 12:45:53,,,Leave withdrawn for 5 days,2025-10-10 12:45:53,2026-02-11 12:45:53
LVE000003,EMP00003,DEPT003,EMP00004,Casual Leave,2025-11-21,2025-12-02,12,Vacation,Pending,2026-01-05 12:45:53,,,Leave pending for 12 days,2025-10-02 12:45:53,2026-02-14 12:45:53
LVE000004,EMP00004,DEPT004,EMP00005,Maternity Leave,2026-02-02,2026-02-13,12,Personal work,Rejected,2025-09-11 12:45:53,2025-09-12 20:45:53,EMP00006,Leave rejected for 12 days,2026-02-04 12:45:53,2026-02-06 12:45:53
LVE000005,EMP00005,DEPT005,EMP00006,Paternity Leave,2025-09-22,2025-10-05,14,Child delivery,Rejected,2025-09-05 12:45:53,2025-09-08 09:45:53,EMP00007,Leave rejected for 14 days,2025-11-09 12:45:53,2026-02-14 12:45:53
LVE000006,EMP00006,DEPT006,EMP00007,Bereavement Leave,2025-11-25,2025-11-29,5,Bereavement,Pending,2026-01-30 12:45:53,,,Leave pending for 5 days,2026-02-05 12:45:53,2026-02-08 12:45:53
LVE000007,EMP00007,DEPT007,EMP00008,Compensatory Off,2025-11-11,2025-11-11,1,Compensatory off earned,Rejected,2025-10-20 12:45:53,2025-10-23 10:45:53,EMP00009,Leave rejected for 1 days,2025-09-11 12:45:53,2026-02-09 12:45:53
LVE000008,EMP00008,DEPT008,EMP00009,Work From Home,2025-09-28,2025-10-09,12,Working from home,Auto-Approved,2025-08-07 12:45:53,,,Leave auto-approved for 12 days,2025-08-06 12:45:53,2026-02-13 12:45:53
LVE000009,EMP00009,DEPT009,EMP00010,Half Day,2025-10-04,2025-10-16,13,Half day personal work,Withdrawn,2025-09-14 12:45:53,,,Leave withdrawn for 13 days,2025-09-20 12:45:53,2026-02-10 12:45:53
LVE000010,EMP00010,DEPT010,EMP00011,Unpaid Leave,2025-12-09,2025-12-19,11,Unpaid absence,Rejected,2025-11-29 12:45:53,2025-11-30 13:45:53,EMP00012,Leave rejected for 11 days,2025-09-22 12:45:53,2026-02-12 12:45:53
LVE000011,EMP00011,DEPT011,EMP00012,Annual Leave,2025-12-19,2026-01-01,14,Medical emergency,Withdrawn,2025-10-12 12:45:53,,,Leave withdrawn for 14 days,2025-09-06 12:45:53,2026-02-11 12:45:53
LVE000012,EMP00012,DEPT012,EMP00013,Sick Leave,2026-02-02,2026-02-05,4,Family function,Rejected,2025-10-27 12:45:53,2025-10-29 08:45:53,EMP00014,Leave rejected for 4 days,2026-01-17 12:45:53,2026-02-12 12:45:53
LVE000013,EMP00013,DEPT013,EMP00014,Casual Leave,2026-01-15,2026-01-26,12,Vacation,Approved,2025-12-09 12:45:53,2025-12-09 23:45:53,EMP00015,Leave approved for 12 days,2025-12-21 12:45:53,2026-02-06 12:45:53
LVE000014,EMP00014,DEPT014,EMP00015,Maternity Leave,2025-09-12,2025-09-14,3,Personal work,Cancelled,2025-11-02 12:45:53,,,Leave cancelled for 3 days,2025-11-12 12:45:53,2026-02-12 12:45:53
LVE000015,EMP00015,DEPT015,EMP00016,Paternity Leave,2025-09-10,2025-09-15,6,Child delivery,Auto-Approved,2025-10-08 12:45:53,,,Leave auto-approved for 6 days,2025-09-11 12:45:53,2026-02-13 12:45:53
LVE000016,EMP00016,DEPT016,EMP00017,Bereavement Leave,2025-12-18,2025-12-31,14,Bereavement,Withdrawn,2026-02-04 12:45:53,,,Leave withdrawn for 14 days,2025-10-07 12:45:53,2026-02-06 12:45:53
LVE000017,EMP00017,DEPT017,EMP00018,Compensatory Off,2025-11-22,2025-11-22,1,Compensatory off earned,Withdrawn,2025-09-14 12:45:53,,,Leave withdrawn for 1 days,2025-09-15 12:45:53,2026-02-11 12:45:53
LVE000018,EMP00018,DEPT018,EMP00019,Work From Home,2025-09-27,2025-09-27,1,Working from home,Auto-Approved,2025-11-19 12:45:53,,,Leave auto-approved for 1 days,2025-08-31 12:45:53,2026-02-07 12:45:53
LVE000019,EMP00019,DEPT019,EMP00020,Half Day,2026-01-30,2026-02-07,9,Half day personal work,Withdrawn,2025-11-09 12:45:53,,,Leave withdrawn for 9 days,2026-01-21 12:45:53,2026-02-08 12:45:53
LVE000020,EMP00020,DEPT020,EMP00001,Unpaid Leave,2025-09-03,2025-09-04,2,Unpaid absence,Approved,2026-01-17 12:45:53,2026-01-18 22:45:53,EMP00002,Leave approved for 2 days,2026-02-04 12:45:53,2026-02-14 12:45:53
