ActionID,AccountID,ATMID,ActionType,Amount,DateTime,CreatedDate
ATM001,ACC001,ATM101,Withdrawal,5000.00,2024-01-18 10:15:00,2024-01-18 10:15:05
ATM002,ACC002,ATM102,Deposit,10000.00,2024-02-15 11:20:30,2024-02-15 11:20:35
ATM003,ACC003,ATM103,Withdrawal,3000.00,2024-01-23 12:30:20,2024-01-23 12:30:25
ATM004,ACC004,ATM104,Deposit,12000.00,2024-03-08 14:40:15,2024-03-08 14:40:20
ATM005,ACC005,ATM105,Withdrawal,6000.00,2024-03-02 15:50:40,2024-03-02 15:50:45
ATM006,ACC006,ATM106,Deposit,8000.00,2024-03-17 16:05:50,2024-03-17 16:05:55
ATM007,ACC007,ATM107,Withdrawal,2000.00,2024-02-02 09:10:10,2024-02-02 09:10:15
ATM008,ACC008,ATM108,Deposit,15000.00,2024-02-08 10:25:25,2024-02-08 10:25:30
ATM009,ACC009,ATM109,Withdrawal,4000.00,2024-03-13 11:40:40,2024-03-13 11:40:45
ATM010,ACC010,ATM110,Deposit,10000.00,2024-03-15 12:55:00,2024-03-15 12:55:05
