TicketID,CustomerID,IssueType,CreatedDate,ResolvedDate
TCK001,CUST001,Account Issue,2024-01-20 09:15:00,2024-01-21 14:30:00
TCK002,CUST002,Card Issue,2024-02-18 10:20:15,2024-02-19 16:45:30
TCK003,CUST003,Loan Query,2024-01-25 11:30:25,2024-01-26 12:50:15
TCK004,CUST004,ATM Issue,2024-03-10 12:45:10,2024-03-11 14:10:05
TCK005,CUST005,Account Issue,2024-03-05 14:00:20,2024-03-06 15:25:30
TCK006,CUST006,Loan Query,2024-03-12 15:15:40,2024-03-13 16:40:20
TCK007,CUST007,Card Issue,2024-02-05 16:30:50,2024-02-06 17:55:10
TCK008,CUST008,ATM Issue,2024-02-14 09:45:15,2024-02-15 11:10:25
TCK009,CUST009,Account Issue,2024-03-08 11:00:30,2024-03-09 12:25:40
TCK010,CUST010,Loan Query,2024-03-15 12:15:40,2024-03-16 13:40:50
