LoanID,CustomerID,LoanType,PrincipalAmount,StartDate,EndDate,CreatedDate
LN001,CUST001,Home,5000000,2024-01-10,2034-01-10,2024-01-10 09:00:00
LN002,CUST002,Car,800000,2024-02-01,2029-02-01,2024-02-01 10:15:30
LN003,CUST003,Personal,200000,2024-01-15,2026-01-15,2024-01-15 11:30:45
LN004,CUST004,Home,4000000,2024-03-01,2034-03-01,2024-03-01 12:45:10
LN005,CUST005,Education,500000,2024-02-20,2027-02-20,2024-02-20 14:00:25
LN006,CUST006,Car,700000,2024-03-10,2029-03-10,2024-03-10 15:15:40
LN007,CUST007,Personal,300000,2024-01-25,2026-01-25,2024-01-25 16:30:55
LN008,CUST008,Home,3500000,2024-02-10,2034-02-10,2024-02-10 09:45:10
LN009,CUST009,Car,600000,2024-03-05,2029-03-05,2024-03-05 11:00:25
LN010,CUST010,Personal,250000,2024-03-12,2026-03-12,2024-03-12 12:15:40
