PaymentID,LoanID,PaymentDate,AmountPaid,CreatedDate
PMT001,LN001,2024-02-10,50000,2024-02-10 10:00:00
PMT002,LN002,2024-03-01,40000,2024-03-01 11:15:30
PMT003,LN003,2024-02-15,20000,2024-02-15 12:30:45
PMT004,LN004,2024-03-05,60000,2024-03-05 13:45:10
PMT005,LN005,2024-03-20,25000,2024-03-20 14:00:25
PMT006,LN006,2024-03-15,35000,2024-03-15 15:15:40
PMT007,LN007,2024-02-25,15000,2024-02-25 16:30:55
PMT008,LN008,2024-03-10,55000,2024-03-10 09:45:10
PMT009,LN009,2024-03-12,30000,2024-03-12 11:00:25
PMT010,LN010,2024-03-18,20000,2024-03-18 12:15:40
